date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2022-04-22	203.03	204.86	195.0	195.15	194.91	62471343	62471343	-7.88	-3.88	199.51	April 22, 22	-0.0388
2022-04-25	192.02	199.45	190.96	199.02	198.77	64156561	64156561	7.0	3.65	195.3625	April 25, 22	0.0365
2022-04-26	197.18	197.88	186.7	187.88	187.64	65314250	65314250	-9.3	-4.72	192.41	April 26, 22	-0.0472
2022-04-27	185.98	191.67	182.9	184.15	183.92	49946017	49946017	-1.83	-0.98398	186.175	April 27, 22	-0.0098398
2022-04-28	189.67	200.37	184.9	197.82	197.57	57032671	57032671	8.15	4.3	193.19	April 28, 22	0.043
2022-04-29	194.02	201.28	185.17	185.47	185.24	50043491	50043491	-8.55	-4.41	191.485	April 29, 22	-0.0441
2022-05-02	185.41	195.74	183.91	195.33	195.09	57204868	57204868	9.93	5.35	190.0975	May 02, 22	0.0535
2022-05-03	194.0	198.25	191.33	196.02	195.77	47575084	47575084	2.02	1.04	194.9	May 03, 22	0.0104
2022-05-04	199.23	204.0	187.51	203.34	203.09	64885463	64885463	4.11	2.06	198.52	May 04, 22	0.0206
2022-05-05	198.67	199.25	185.0	188.44	188.2	62633141	62633141	-10.23	-5.15	192.84	May 05, 22	-0.0515
2022-05-06	187.36	195.12	179.9	186.75	186.52	63329672	63329672	-0.61	-0.32558	187.2825	May 06, 22	-0.0032558
2022-05-09	180.34	182.55	168.27	169.5	169.29	64445451	64445451	-10.84	-6.01	175.165	May 09, 22	-0.0601
2022-05-10	176.89	181.98	170.25	175.95	175.73	76147429	76147429	-0.94	-0.5314	176.2675	May 10, 22	-0.005314
2022-05-11	173.47	177.53	165.68	166.3	166.09	67016703	67016703	-7.17	-4.13	170.745	May 11, 22	-0.0413
2022-05-12	162.19	167.88	155.67	161.75	161.55	70872837	70872837	-0.441	-0.27129	161.8725	May 12, 22	-0.0027129
2022-05-13	167.88	179.28	165.93	177.06	176.84	67043651	67043651	9.18	5.47	172.5375	May 13, 22	0.0547
2022-05-16	175.09	177.88	171.06	172.64	172.42	52144598	52144598	-2.45	-1.4	174.1675	May 16, 22	-0.014
2022-05-17	180.74	183.71	176.34	181.77	181.54	58582971	58582971	1.03	0.56988	180.64	May 17, 22	0.0056988
2022-05-18	177.05	181.18	168.64	169.38	169.17	54516106	54516106	-7.67	-4.33	174.0625	May 18, 22	-0.0433
2022-05-19	169.37	176.87	167.34	171.24	171.03	62130959	62130959	1.87	1.1	171.205	May 19, 22	0.011
2022-05-20	173.32	174.1	157.55	166.94	166.73	73910526	73910526	-6.38	-3.68	167.9775	May 20, 22	-0.0368
2022-05-23	162.74	169.15	161.79	168.98	168.77	63988869	63988869	6.24	3.83	165.665	May 23, 22	0.0383
2022-05-24	165.1	165.97	157.8	161.54	161.34	58855002	58855002	-3.56	-2.16	162.6025	May 24, 22	-0.0216
2022-05-25	160.2	171.11	160.0	169.75	169.54	78113190	78113190	9.55	5.96	165.265	May 25, 22	0.0596
2022-05-26	160.36	180.92	160.22	178.51	178.29	99657452	99657452	18.15	11.32	170.0025	May 26, 22	0.1132
2022-05-27	181.86	188.81	181.0	188.11	187.87	73837935	73837935	6.25	3.44	184.945	May 27, 22	0.0344
2022-05-31	189.8	192.0	183.5	186.72	186.49	66409951	66409951	-3.08	-1.62	188.005	May 31, 22	-0.0162
2022-06-01	187.24	190.53	181.22	183.2	182.97	54451390	54451390	-4.04	-2.16	185.5475	June 01, 22	-0.0216
2022-06-02	182.92	196.19	181.98	195.92	195.67	64865580	64865580	13.0	7.11	189.2525	June 02, 22	0.0711
2022-06-03	190.82	193.32	185.22	187.2	186.97	59877870	59877870	-3.62	-1.9	189.14	June 03, 22	-0.019
2022-06-06	191.39	193.37	185.64	187.86	187.62	42240615	42240615	-3.53	-1.84	189.565	June 06, 22	-0.0184
2022-06-07	184.72	190.0	181.88	189.26	189.02	38891411	38891411	4.54	2.46	186.465	June 07, 22	0.0246
2022-06-08	187.99	191.8	185.35	186.48	186.29	36325246	36325246	-1.51	-0.80323	187.905	June 08, 22	-0.0080323
2022-06-09	184.81	189.33	180.41	180.48	180.29	39557379	39557379	-4.33	-2.34	183.7575	June 09, 22	-0.0234
2022-06-10	176.0	176.97	168.69	169.74	169.56	46564966	46564966	-6.26	-3.56	172.85	June 10, 22	-0.0356
2022-06-13	160.0	163.12	156.06	156.47	156.31	60415338	60415338	-3.53	-2.21	158.9125	June 13, 22	-0.0221
2022-06-14	157.31	160.66	154.12	158.36	158.19	46967952	46967952	1.05	0.66747	157.6125	June 14, 22	0.0066747
2022-06-15	160.95	168.68	159.26	165.27	165.1	56393565	56393565	4.32	2.68	163.54	June 15, 22	0.0268
2022-06-16	158.6	159.42	154.01	156.01	155.85	54574867	54574867	-2.59	-1.63	157.01	June 16, 22	-0.0163
2022-06-17	156.48	159.95	153.28	158.8	158.63	63033397	63033397	2.32	1.48	157.1275	June 17, 22	0.0148
2022-06-21	164.75	170.08	164.07	165.66	165.49	48308888	48308888	0.915	0.55235	166.14	June 21, 22	0.0055235
2022-06-22	162.26	166.62	161.8	163.6	163.43	43799744	43799744	1.34	0.82584	163.57	June 22, 22	0.0082584
2022-06-23	165.19	165.85	158.53	162.25	162.08	46367959	46367959	-2.94	-1.78	162.955	June 23, 22	-0.0178
2022-06-24	165.0	171.4	163.1	171.26	171.08	47215283	47215283	6.26	3.79	167.69	June 24, 22	0.0379
2022-06-27	173.12	173.3	166.26	168.69	168.51	42796788	42796788	-4.43	-2.56	170.3425	June 27, 22	-0.0256
2022-06-28	169.0	172.02	159.45	159.82	159.65	46185936	46185936	-9.18	-5.43	165.0725	June 28, 22	-0.0543
2022-06-29	158.14	158.2	151.7	155.42	155.26	48235228	48235228	-2.72	-1.72	155.865	June 29, 22	-0.0172
2022-06-30	153.61	155.67	148.62	151.59	151.43	68607003	68607003	-2.02	-1.32	152.3725	June 30, 22	-0.0132
2022-07-01	148.99	150.63	143.92	145.23	145.08	57761008	57761008	-3.76	-2.52	147.1925	July 01, 22	-0.0252
2022-07-05	141.75	149.71	140.55	149.64	149.48	65220761	65220761	7.89	5.57	145.4125	July 05, 22	0.0557
2022-07-06	150.1	153.19	147.89	151.3	151.14	52906586	52906586	1.2	0.79947	150.62	July 06, 22	0.0079947
2022-07-07	154.56	159.45	153.89	158.58	158.41	49290276	49290276	4.03	2.6	156.62	July 07, 22	0.026
2022-07-08	154.3	160.37	153.89	158.38	158.21	46797176	46797176	4.08	2.64	156.735	July 08, 22	0.0264
2022-07-11	155.26	155.27	150.38	151.52	151.36	43838873	43838873	-3.74	-2.41	153.1075	July 11, 22	-0.0241
2022-07-12	152.68	154.31	148.77	150.82	150.66	45848310	45848310	-1.86	-1.22	151.645	July 12, 22	-0.0122
2022-07-13	145.9	153.75	144.65	151.64	151.48	52191834	52191834	5.74	3.93	148.985	July 13, 22	0.0393
2022-07-14	151.08	154.73	147.28	153.72	153.56	45623484	45623484	2.64	1.75	151.7025	July 14, 22	0.0175
2022-07-15	156.59	157.82	154.45	157.62	157.46	38593547	38593547	1.03	0.65777	156.62	July 15, 22	0.0065777
2022-07-18	163.02	168.97	160.02	161.01	160.84	67051745	67051745	-2.01	-1.23	163.255	July 18, 22	-0.0123
2022-07-19	164.86	171.1	161.72	169.92	169.74	70236608	70236608	5.06	3.07	166.9	July 19, 22	0.0307
2022-07-20	169.47	179.33	168.01	178.07	177.88	76053779	76053779	8.6	5.07	173.72	July 20, 22	0.0507
2022-07-21	178.85	181.44	175.45	180.5	180.31	55704928	55704928	1.65	0.92256	179.06	July 21, 22	0.0092256
2022-07-22	178.93	179.67	171.37	173.19	173.01	53667088	53667088	-5.74	-3.21	175.79	July 22, 22	-0.0321
2022-07-25	170.19	171.24	166.49	170.24	170.06	48074751	48074751	0.05	0.02937893	169.54	July 25, 22	0.0002937893
2022-07-26	168.89	169.19	164.78	165.33	165.16	39786491	39786491	-3.56	-2.11	167.0475	July 26, 22	-0.0211
2022-07-27	170.32	179.36	169.13	177.9	177.71	56977623	56977623	7.58	4.45	174.1775	July 27, 22	0.0445
2022-07-28	179.75	181.4	174.4	179.84	179.65	47464628	47464628	0.09	0.05006954	178.8475	July 28, 22	0.0005006954
2022-07-29	178.13	182.44	176.92	181.63	181.44	43546042	43546042	3.5	1.96	179.78	July 29, 22	0.0196
2022-08-01	181.82	188.46	179.9	184.41	184.22	47646904	47646904	2.59	1.42	183.6475	August 01, 22	0.0142
2022-08-02	181.22	189.38	180.92	185.26	185.07	48952692	48952692	4.04	2.23	184.195	August 02, 22	0.0223
2022-08-03	181.84	189.68	181.37	188.93	188.73	41814557	41814557	7.09	3.9	185.455	August 03, 22	0.039
2022-08-04	188.49	192.74	187.6	192.15	191.95	40965227	40965227	3.66	1.94	190.245	August 04, 22	0.0194
2022-08-05	188.1	192.29	186.66	189.89	189.69	38606829	38606829	1.79	0.95162	189.235	August 05, 22	0.0095162
2022-08-08	175.02	182.39	172.42	177.93	177.74	98378318	98378318	2.91	1.66	176.94	August 08, 22	0.0166
2022-08-09	172.52	174.47	167.24	170.86	170.68	66826265	66826265	-1.66	-0.96221	171.2725	August 09, 22	-0.0096221
2022-08-10	176.98	181.18	173.17	180.97	180.78	59742246	59742246	3.99	2.25	178.075	August 10, 22	0.0225
2022-08-11	181.31	187.07	178.76	179.42	179.23	50932655	50932655	-1.89	-1.04	181.64	August 11, 22	-0.0104
2022-08-12	181.6	187.18	179.53	187.09	186.89	47809415	47809415	5.49	3.02	183.85	August 12, 22	0.0302
2022-08-15	187.01	191.64	186.13	190.32	190.12	45766556	45766556	3.31	1.77	188.775	August 15, 22	0.0177
2022-08-16	189.2	191.42	185.01	188.79	188.59	45123964	45123964	-0.405	-0.2167	188.605	August 16, 22	-0.002167
2022-08-17	185.23	186.88	181.45	183.35	183.16	44679911	44679911	-1.88	-1.01	184.2275	August 17, 22	-0.0101
2022-08-18	183.01	188.65	181.83	187.73	187.53	41544656	41544656	4.72	2.58	185.305	August 18, 22	0.0258
2022-08-19	184.06	185.2	177.7	178.49	178.3	44158833	44158833	-5.57	-3.03	181.3625	August 19, 22	-0.0303
2022-08-22	174.9	175.58	169.66	170.34	170.16	40959271	40959271	-4.56	-2.61	172.62	August 22, 22	-0.0261
2022-08-23	169.89	174.65	169.7	171.81	171.63	36998577	36998577	1.93	1.13	171.5125	August 23, 22	0.0113
2022-08-24	170.12	174.06	168.95	172.22	172.04	52266071	52266071	2.1	1.23	171.3375	August 24, 22	0.0123
2022-08-25	168.44	179.47	168.33	179.13	178.94	77069133	77069133	10.69	6.35	173.8425	August 25, 22	0.0635
2022-08-26	178.57	179.24	162.37	162.6	162.43	76912743	76912743	-15.97	-8.94	170.695	August 26, 22	-0.0894
